Name,Category,Price,Quality
AncientHeart,Musical,46529,78
HeroOdyssey,Aventura,11250,82
FrozenChronicles,Acción,7862,73
AncientQuest,Lucha,67571,9
CyberOdyssey,Puzzle,13809,87
EternalDefenders,Acción,25772,93
CyberReign,Deportes,65006,64
SolarGuardians,Simulación,9700,38
CyberDefenders,Aventura,23784,74
CosmicHeart,Lucha,42670,16
CosmicEchoes,Acción,21971,3
StarPact,Estrategia,46381,7
LegendChronicles,Carreras,68283,18
MysticEchoes,Puzzle,11597,19
HeroOdyssey,Simulación,53629,50
WarEchoes,Carreras,62192,28
SolarStorm,Plataformas,51461,66
WarBlade,Lucha,57636,65
MysticDefenders,Simulación,688,29
WarEmpire,Carreras,52411,70
EternalDefenders,Aventura,63158,94
HeroOdyssey,Acción,35140,29
GalaxyFrontier,Estrategia,56708,84
DragonOdyssey,Simulación,10555,6
ShadowPact,RPG,2849,4
SolarBlade,Lucha,19758,69
StarOdyssey,Lucha,36731,16
CrystalChronicles,Musical,27048,9
FrozenFrontier,Simulación,37088,72
AncientEchoes,Terror,24676,32
StarRunner,Plataformas,45820,70
CrystalProtocol,Estrategia,65391,37
IronRiders,Acción,43594,75
CrystalHorizon,Musical,33737,37
TimeEmpire,Plataformas,23163,9
LegendReign,Lucha,6080,64
LostEmpire,Puzzle,46729,49
CyberForge,Terror,8184,29
CyberStorm,Terror,21378,18
MysticEchoes,Carreras,33452,62
GalaxyEchoes,Puzzle,14365,68
VoidProtocol,Terror,64885,96
FrozenQuest,Acción,1909,95
ShadowRiders,Acción,12576,31
CyberGuardians,RPG,12498,6
LegendReign,Simulación,34474,23
WarHeart,Puzzle,43389,38
CrystalStorm,Puzzle,24481,74
CrystalChronicles,Acción,37710,8
FinalEmpire,Deportes,26793,62
IronSaga,Musical,49464,33
IronEchoes,Puzzle,54961,5
GalaxyEchoes,Simulación,54296,1
AncientHeart,RPG,61843,94
LegendOdyssey,Puzzle,25456,55
LegendGuardians,Simulación,44362,26
AncientHorizon,Deportes,56097,79
HeroPact,Carreras,14826,35
VoidOdyssey,Puzzle,13452,63
MysticForge,Carreras,16139,59
AncientBlade,Acción,32131,7
MysticSaga,Carreras,32071,7
StarSaga,Lucha,57373,2
TimeFrontier,Aventura,57588,63
FrozenHorizon,Deportes,38905,66
LostPact,Estrategia,47182,95
ShadowReign,Lucha,22622,45
FrozenSaga,Estrategia,7900,1
VoidDefenders,Aventura,28099,11
CrystalOdyssey,Musical,16951,13
HeroGuardians,Musical,32519,9
MysticDefenders,Plataformas,33313,64
DragonForge,Lucha,36069,96
StarGuardians,Puzzle,9668,18
MysticChronicles,Carreras,17198,47
ShadowProtocol,Estrategia,43727,70
FinalBlade,RPG,1682,16
AncientSaga,Estrategia,1774,57
DragonFrontier,Musical,5486,66
StarOdyssey,Puzzle,59301,58
HeroLegacy,Puzzle,20918,30
DragonFrontier,RPG,17805,14
IronForge,Simulación,15831,44
CrystalPact,Aventura,43290,15
CosmicOdyssey,Carreras,49121,46
StarHeart,RPG,34385,71
AncientHorizon,Musical,7178,15
StarQuest,Terror,58829,90
StarFrontier,Simulación,33635,33
LostDefenders,Simulación,44896,78
FrozenHeart,Carreras,52252,63
EternalProtocol,Estrategia,69322,91
LostEchoes,Musical,19614,80
CosmicFrontier,Aventura,20558,87
FinalRunner,Puzzle,54207,48
FrozenSaga,Estrategia,20043,44
CyberFrontier,Carreras,69044,58
CrystalRiders,Deportes,20444,51
CosmicEchoes,Acción,26410,81
CyberForge,Plataformas,50254,30
HeroOdyssey,Puzzle,56621,1
ShadowForge,Puzzle,20850,70
SolarQuest,Lucha,6834,43
LostEmpire,Terror,54070,5
IronLegacy,Deportes,38543,48
CyberForge,Deportes,59557,15
CyberDefenders,Musical,65664,61
ShadowSaga,RPG,54701,26
DragonHeart,Terror,10233,20
VoidRiders,Terror,24692,56
HeroQuest,Puzzle,33133,9
DragonStorm,Estrategia,56074,20
HeroChronicles,Acción,13473,97
CrystalHorizon,Aventura,28469,87
CrystalQuest,Aventura,66304,12
HeroEchoes,Simulación,59687,26
CosmicEmpire,Simulación,59391,34
StarDefenders,Puzzle,20643,39
FinalReign,Estrategia,36782,38
GalaxyOdyssey,Acción,11625,2
IronOdyssey,Acción,46210,81
EternalPact,Deportes,16627,88
AncientBlade,Musical,45864,62
LostRiders,Estrategia,36544,67
DragonRunner,Lucha,36170,3
GalaxyQuest,Deportes,55559,81
ShadowStorm,Lucha,48452,100
CosmicFrontier,Simulación,13527,62
ShadowEchoes,Plataformas,32333,1
WarForge,Acción,61803,99
SolarGuardians,Estrategia,64496,60
CrystalForge,Carreras,40230,94
MysticHeart,Terror,59139,35
IronBlade,Deportes,20998,13
GalaxyLegacy,Aventura,8643,7
HeroEchoes,Acción,20265,46
CrystalReign,Simulación,13618,51
LostGuardians,Musical,3616,58
FrozenRiders,Carreras,23670,90
FinalFrontier,Acción,1434,90
IronDefenders,Aventura,21356,81
MysticHeart,Lucha,65783,21
CyberHorizon,Aventura,16592,66
CyberRunner,Musical,40959,50
IronForge,Carreras,62104,12
StarEchoes,RPG,52974,79
HeroEmpire,Puzzle,4166,2
FinalSaga,Musical,28420,29
FrozenRunner,Lucha,12829,93
VoidStorm,Simulación,4908,89
MysticEmpire,Plataformas,57378,15
AncientFrontier,Plataformas,4730,51
DragonProtocol,Carreras,47060,35
ShadowFrontier,Plataformas,9891,45
SolarGuardians,Deportes,69430,67
TimeGuardians,Deportes,36830,72
StarFrontier,Acción,124,97
HeroStorm,Plataformas,52264,25
CrystalPact,Aventura,3278,77
MysticStorm,Puzzle,15911,42
IronBlade,Plataformas,65538,88
AncientStorm,Lucha,69917,48
SolarSaga,Carreras,16148,30
MysticQuest,Deportes,68669,7
SolarSaga,Simulación,38208,96
TimeHorizon,Deportes,33356,3
CyberOdyssey,Plataformas,13331,1
SolarHorizon,Puzzle,9622,19
FinalRunner,Carreras,7472,90
StarProtocol,Carreras,20588,74
LegendBlade,Musical,20817,62
ShadowProtocol,Plataformas,68848,22
FinalProtocol,Carreras,39706,53
CyberPact,Terror,34532,7
LostForge,Terror,16934,2
WarChronicles,Lucha,64093,2
CrystalQuest,Simulación,41223,88
CosmicBlade,Lucha,40543,83
CosmicHeart,Acción,29413,86
LostSaga,Musical,53929,11
LostPact,Deportes,16304,96
HeroStorm,RPG,11669,51
EternalRunner,Carreras,45116,64
LostHorizon,Plataformas,21488,39
CrystalRunner,Terror,21090,58
TimeBlade,Terror,45227,94
MysticRunner,Musical,38723,46
MysticQuest,Plataformas,42811,5
SolarRiders,Terror,3684,15
FinalHeart,Carreras,53956,31
MysticChronicles,RPG,3774,83
StarPact,Aventura,3660,67
CosmicReign,Carreras,50330,59
CrystalProtocol,Terror,13404,76
ShadowForge,RPG,25996,21
AncientLegacy,Lucha,31068,2
AncientEchoes,RPG,31428,83
MysticBlade,Estrategia,17045,34
FinalDefenders,Puzzle,5969,40
HeroOdyssey,Musical,12615,24
CosmicOdyssey,Terror,69814,97
EternalQuest,Deportes,52825,77
VoidChronicles,Estrategia,14690,5
DragonOdyssey,RPG,907,50
ShadowStorm,Terror,63639,89
TimeRunner,Simulación,37335,85
FinalReign,Terror,20017,3
GalaxyRunner,Deportes,68887,12
CyberRunner,Acción,44128,79
TimePact,Lucha,40011,0
EternalGuardians,Puzzle,1464,97
MysticFrontier,Estrategia,22063,31
EternalPact,Musical,28069,41
StarHeart,Simulación,19528,25
MysticForge,Estrategia,42110,80
GalaxyStorm,Deportes,29761,73
ShadowStorm,Carreras,11929,65
EternalOdyssey,Terror,8307,64
TimeReign,Carreras,8994,11
SolarFrontier,RPG,33948,7
IronChronicles,Terror,44697,99
HeroLegacy,Lucha,12041,75
SolarQuest,Musical,9410,98
GalaxyRunner,Puzzle,21103,18
FrozenPact,Acción,58660,72
ShadowFrontier,Aventura,44463,83
FinalBlade,Aventura,9075,83
MysticFrontier,Plataformas,26961,78
LostChronicles,RPG,66330,99
CosmicHeart,Musical,17608,97
MysticRiders,Terror,34711,22
LegendDefenders,Acción,28419,35
IronLegacy,RPG,17952,76
VoidSaga,Carreras,35333,47
GalaxyReign,RPG,46517,1
DragonForge,Puzzle,55398,52
MysticChronicles,Lucha,6234,3
LostRunner,Deportes,50834,34
SolarRiders,Plataformas,4703,53
StarLegacy,Plataformas,47987,93
SolarForge,Plataformas,45259,15
VoidForge,RPG,50578,55
FinalQuest,Aventura,64405,52
AncientRunner,Plataformas,33231,21
AncientRiders,Estrategia,13667,96
DragonSaga,Carreras,11138,35
LostStorm,Acción,9275,61
FrozenLegacy,Estrategia,62839,39
AncientPact,Deportes,38397,78
CyberPact,Simulación,63545,57
SolarRunner,RPG,67975,10
FinalOdyssey,Aventura,43325,81
LegendStorm,Deportes,34791,78
HeroBlade,Aventura,23774,71
AncientRiders,Plataformas,2901,10
DragonProtocol,Deportes,9313,64
TimePact,Lucha,60859,8
EternalOdyssey,Simulación,57839,13
LostSaga,Simulación,47583,5
VoidRiders,Lucha,63354,30
DragonFrontier,Carreras,15935,98
DragonOdyssey,Carreras,46089,13
ShadowForge,Plataformas,12818,76
DragonReign,Estrategia,11048,18
DragonOdyssey,Musical,6014,21
CyberSaga,Deportes,17493,82
TimeEchoes,RPG,18771,13
TimeLegacy,Lucha,8675,63
LegendHorizon,Estrategia,65930,74
AncientStorm,Aventura,51047,49
MysticForge,Estrategia,21306,46
HeroGuardians,Puzzle,20511,99
FrozenStorm,Carreras,69524,90
CosmicFrontier,Aventura,37408,98
FinalHeart,Lucha,61723,67
ShadowChronicles,Simulación,40467,63
ShadowChronicles,Acción,36027,51
AncientBlade,Lucha,2189,83
StarQuest,Simulación,27752,90
FrozenProtocol,Simulación,43772,8
WarRiders,Simulación,16993,53
StarStorm,Musical,7180,12
StarRiders,Aventura,1081,50
EternalOdyssey,Musical,59063,95
LegendReign,RPG,31162,61
MysticDefenders,RPG,15749,21
VoidRiders,Simulación,21743,40
VoidReign,Musical,49505,38
EternalPact,Terror,61560,89
EternalDefenders,Carreras,29275,14
IronHorizon,Lucha,30678,39
LostRiders,Plataformas,18211,19
LostOdyssey,Simulación,2854,0
CosmicForge,Aventura,19005,94
StarReign,Musical,42496,100
AncientEchoes,RPG,67821,3
LostEchoes,Aventura,26571,69
CosmicHeart,Carreras,40971,73
SolarEmpire,RPG,27734,79
CyberRiders,Musical,22933,77
SolarFrontier,Lucha,17317,25
GalaxyQuest,Simulación,55565,32
ShadowProtocol,Lucha,24580,0
HeroOdyssey,Musical,8622,88
MysticGuardians,Puzzle,24858,40
WarOdyssey,Puzzle,31528,58
LegendChronicles,Lucha,26849,37
VoidProtocol,Carreras,25653,50
CrystalProtocol,Plataformas,31116,62
TimeSaga,Musical,66719,38
AncientQuest,Musical,26789,81
IronLegacy,Deportes,42305,23
EternalProtocol,Deportes,829,80
GalaxyStorm,Aventura,5151,34
HeroHorizon,Lucha,55630,49
AncientReign,Estrategia,57132,76
IronReign,Musical,23637,86
MysticProtocol,Terror,39148,7
GalaxyDefenders,Puzzle,47233,43
LostOdyssey,Carreras,16333,57
FinalProtocol,RPG,37556,10
IronForge,Simulación,57937,90
LegendEchoes,Puzzle,45983,22
AncientHeart,Aventura,35634,82
CosmicEmpire,Terror,46216,17
GalaxyGuardians,Terror,43035,42
DragonFrontier,Lucha,60012,48
CyberEmpire,Terror,18011,31
ShadowPact,Aventura,969,13
SolarLegacy,Simulación,36247,82
ShadowBlade,Estrategia,8296,71
ShadowQuest,Estrategia,60787,8
IronHeart,Terror,50160,89
FrozenQuest,Carreras,26690,43
VoidLegacy,RPG,66625,2
EternalSaga,Deportes,45665,100
SolarOdyssey,Plataformas,20468,68
DragonProtocol,RPG,30508,54
WarGuardians,Deportes,16164,17
HeroDefenders,Simulación,10365,4
WarSaga,RPG,42639,10
FrozenReign,Puzzle,33340,62
FrozenGuardians,Acción,56140,15
FrozenChronicles,Musical,2275,11
FrozenEmpire,RPG,18322,47
CrystalProtocol,Lucha,32332,72
WarOdyssey,Deportes,56760,50
EternalQuest,Deportes,43140,0
AncientDefenders,Acción,1628,14
AncientProtocol,Aventura,10749,97
LegendPact,Deportes,28050,80
WarQuest,Deportes,51656,77
FinalForge,Aventura,44277,100
DragonFrontier,Aventura,40489,93
WarSaga,Terror,56019,50
IronSaga,Simulación,4539,49
WarEmpire,Simulación,67940,24
DragonGuardians,Deportes,60907,21
WarQuest,Acción,58883,51
WarDefenders,Simulación,57894,51
MysticChronicles,Carreras,12871,54
CosmicDefenders,Acción,56426,12
LegendGuardians,Aventura,24218,27
TimeStorm,Carreras,49100,21
IronOdyssey,Lucha,59660,19
MysticEmpire,Lucha,37636,34
AncientBlade,Musical,55434,54
CrystalStorm,RPG,15528,2
GalaxyQuest,Terror,26719,98
LostRunner,RPG,4531,15
LegendEchoes,Simulación,37501,62
TimeForge,Acción,65955,1
TimeForge,Plataformas,23663,65
CosmicStorm,Carreras,3746,87
LostEmpire,Estrategia,14321,19
VoidFrontier,Terror,13484,56
FinalChronicles,Simulación,32706,30
LegendProtocol,Musical,53083,52
GalaxyQuest,Plataformas,42066,84
IronHorizon,RPG,1157,8
WarEmpire,Acción,10123,95
MysticOdyssey,Musical,30552,59
LostGuardians,Estrategia,27254,78
WarProtocol,Puzzle,34923,80
VoidHorizon,Carreras,5282,31
CyberEmpire,Musical,57261,14
VoidHorizon,Acción,39312,8
CosmicChronicles,RPG,36368,41
CyberHorizon,Deportes,2926,24
HeroFrontier,RPG,44665,20
LostHeart,Aventura,5428,0
EternalLegacy,Puzzle,22996,67
DragonOdyssey,Puzzle,31292,12
WarFrontier,Puzzle,32640,15
FinalEchoes,RPG,66867,21
LegendOdyssey,Terror,18251,56
IronChronicles,Aventura,1980,8
CrystalPact,Acción,5612,95
MysticHeart,Lucha,41480,77
HeroFrontier,Musical,6538,99
SolarRiders,Lucha,13387,26
CyberOdyssey,Aventura,18099,46
LostGuardians,Puzzle,633,99
ShadowFrontier,Plataformas,11523,53
MysticDefenders,Musical,27013,98
FrozenLegacy,Carreras,45098,36
StarChronicles,Carreras,34176,17
CyberPact,Aventura,12148,20
CrystalEchoes,Estrategia,46951,68
DragonOdyssey,Aventura,43665,72
TimeGuardians,Puzzle,38737,5
WarStorm,Deportes,19648,57
LostEmpire,Plataformas,9631,31
DragonLegacy,Simulación,40307,90
LegendOdyssey,Deportes,48999,42
DragonEchoes,Estrategia,268,0
WarQuest,Musical,34435,77
HeroSaga,RPG,11657,49
CrystalBlade,Simulación,18607,89
HeroOdyssey,Deportes,5202,1
VoidReign,Simulación,58592,27
TimeRunner,Aventura,12330,27
StarForge,Carreras,38325,12
VoidHorizon,Estrategia,50505,64
EternalProtocol,RPG,1197,6
LostDefenders,Terror,69700,81
EternalReign,Aventura,51588,16
HeroQuest,Aventura,24703,30
WarHeart,Terror,45077,63
CyberReign,Estrategia,45002,69
WarForge,Aventura,13689,63
MysticLegacy,Lucha,13609,87
EternalEmpire,Lucha,17672,66
WarFrontier,Plataformas,58213,73
CosmicRiders,Lucha,7803,99
VoidDefenders,Plataformas,6783,31
TimeHeart,Plataformas,67429,57
LegendBlade,Puzzle,46861,81
FinalEchoes,Plataformas,43988,30
VoidQuest,Acción,60991,28
CrystalEchoes,RPG,35719,62
MysticChronicles,Musical,28144,77
VoidHeart,RPG,8901,79
DragonGuardians,Carreras,16602,86
IronEmpire,Carreras,12189,54
GalaxySaga,RPG,51626,23
DragonChronicles,Puzzle,51630,1
CrystalBlade,Deportes,5384,51
FrozenChronicles,Carreras,41890,63
FrozenEmpire,Estrategia,31160,51
AncientPact,Musical,7818,73
SolarDefenders,Acción,30675,42
LostProtocol,Musical,35346,2
LegendDefenders,Lucha,38959,7
LostDefenders,Estrategia,31325,53
LegendLegacy,Aventura,42158,80
MysticSaga,Deportes,53302,64
FrozenReign,Acción,32242,42
DragonOdyssey,Carreras,43354,11
CrystalPact,Acción,20885,84
LostLegacy,Carreras,27750,40
FinalChronicles,Plataformas,51482,73
IronEmpire,Musical,48625,10
GalaxyHeart,RPG,14924,87
HeroLegacy,Terror,39778,84
CosmicReign,Simulación,62251,17
ShadowLegacy,Plataformas,57325,45
CosmicPact,Plataformas,69839,85
LostRunner,Terror,23089,73
